price,size,floor,municipality,hasLift,distancia_centro,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,rooms_1 habitacion,rooms_2 habitaciones,rooms_3 habitaciones,rooms_4 habitaciones,rooms_sin habitaciones,bathrooms_1 aseo,bathrooms_2 aseos,bathrooms_3 aseos
720.0,47.0,691.2647211648809,702.071794642295,687.6335443592284,711.754484024096,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
750.0,43.0,670.416612627114,702.071794642295,702.2528716519531,711.754484024096,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
695.0,40.0,670.416612627114,702.071794642295,702.2528716519531,703.3002043945388,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
630.0,54.0,670.416612627114,677.8219843307708,673.705516292519,679.0532272107217,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
750.0,90.0,670.416612627114,677.8219843307708,702.2528716519531,699.7260708370707,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
730.0,50.0,703.7402433642305,702.071794642295,702.2528716519531,711.754484024096,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
600.0,90.0,670.416612627114,677.8219843307708,702.2528716519531,699.7260708370707,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
650.0,45.0,691.2647211648809,702.071794642295,702.2528716519531,711.754484024096,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
750.0,38.0,691.2647211648809,702.071794642295,702.2528716519531,691.7646583980136,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
730.0,50.0,670.416612627114,702.071794642295,702.2528716519531,703.3002043945388,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
735.0,30.0,703.7402433642305,702.071794642295,702.2528716519531,703.3002043945388,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
610.0,72.0,691.2647211648809,677.8219843307708,702.2528716519531,703.3002043945388,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
580.0,54.0,670.416612627114,677.8219843307708,673.705516292519,679.0532272107217,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
725.0,50.0,691.2647211648809,702.071794642295,687.6335443592284,699.7260708370707,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
750.0,48.0,691.2647211648809,702.071794642295,687.6335443592284,711.754484024096,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
750.0,70.0,703.7402433642305,677.8219843307708,687.6335443592284,699.7260708370707,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
750.0,49.0,703.7402433642305,702.071794642295,702.2528716519531,711.754484024096,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
730.0,60.0,703.7402433642305,688.4800744480785,687.6335443592284,699.7260708370707,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
560.0,26.0,691.2647211648809,702.071794642295,687.6335443592284,691.7646583980136,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
700.0,23.0,670.416612627114,702.071794642295,673.705516292519,701.4051977467118,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
750.0,80.0,703.7402433642305,677.8219843307708,702.2528716519531,703.3002043945388,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
730.0,70.0,703.7402433642305,677.8219843307708,687.6335443592284,703.3002043945388,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
